AP Name,Status,Total user,Availability
AP7426.ac5b.af38,"ma 662d,10h,48m",0,96.51%
CMU_AGR_AGRI_AP0182,"up 14d,19h,24m",0,98.21%
CMU_AGR_AGRI_AP0183,"up 70d,13h,4m",0,98.85%
CMU_AGR_AGRI_AP0184,"up 4d,8h,9m",0,98.84%
CMU_AGR_AGRI_AP0185,"up 48d,7h,59m",0,96.78%
CMU_AGR_AGRI_AP0186,"up 33d,9h,54m",0,97.75%
CMU_AGR_AGRI_AP0187,"up 33d,9h,54m",0,97.44%
CMU_AGR_AGRI_AP0188,"up 33d,9h,54m",0,98.22%
CMU_AGR_AGRI_AP0189,"up 18d,15h,4m",1,98.19%
CMU_AGR_AGRI_AP0190,"up 18d,15h,4m",0,98.36%
CMU_AGR_AGRI_AP0191,"up 6d,19h,24m",0,98.37%
CMU_AGR_AGRI_AP0192,"up 6d,19h,24m",0,96.81%
CMU_AGR_AGRI_AP0193,"up 70d,13h,4m",0,97.51%
CMU_AGR_AGRI_AP1059,"up 70d,12h,44m",0,97.45%
CMU_AGR_AGRI_AP1060,"up 70d,12h,44m",0,97.30%
CMU_AGR_AGRI_AP1061,"up 18d,15h,4m",0,96.27%
CMU_AGR_AGRI_AP1062,"up 2d,19h,24m",0,96.85%
CMU_AGR_AGRI_AP1063,"up 7d,9h,49m",1,97.26%
CMU_AGR_AGRI_AP1064,"up 8d,3h,14m",1,97.27%
CMU_AGR_AGRI_AP1065,"up 33d,9h,54m",4,97.80%
CMU_AGR_AGRI_AP1066,"up 0d,6h,59m",0,97.10%
CMU_AGR_AGRI_AP1067,"up 33d,9h,54m",4,96.70%
CMU_AGR_AGRI_AP1068,"up 70d,13h,4m",0,97.58%
CMU_AGR_AGRI_AP1069,"up 33d,9h,54m",0,96.90%
CMU_AGR_AGRI_AP1070,"up 4d,19h,24m",0,97.33%
CMU_AGR_AGRI_AP1071,"up 2d,9h,14m",0,98.39%
CMU_AGR_AGRI_AP1072,"up 33d,9h,54m",0,96.67%
CMU_AGR_AGRI_AP1073,"up 33d,9h,54m",0,96.48%
CMU_AGR_AGRI_AP1074,"up 33d,9h,54m",0,96.70%
CMU_AGR_AGRI_AP1075,"up 70d,13h,4m",2,97.41%
CMU_AGR_AGRI_AP1076,"up 70d,13h,4m",0,98.66%
CMU_AGR_AGRI_AP1077,"up 6d,19h,24m",0,98.15%
CMU_AGR_AGRI_AP1078,"up 6d,19h,24m",0,96.23%
CMU_AGR_AGRI_AP1079,"up 70d,13h,4m",0,98.18%
CMU_AGR_AGRI_AP1080,"up 6d,19h,24m",0,98.07%
CMU_AGR_AGRI_AP1081,"up 70d,12h,44m",0,97.48%
CMU_AGR_AGRI_AP1082,"up 34d,8h,4m",1,98.44%
CMU_AGR_AGRI_AP1083,"up 6d,19h,24m",0,97.91%
CMU_AGR_AGRI_AP1084,"up 70d,12h,44m",0,98.42%
CMU_AGR_AGRI_AP1085,"up 70d,12h,44m",0,97.47%
CMU_AGR_AGRI_AP1086,"up 70d,12h,44m",0,96.97%
CMU_AGR_AGRI_AP1087,"up 70d,12h,44m",2,97.46%
CMU_AGR_AGRI_AP1088,"up 70d,12h,44m",0,97.44%
CMU_AGR_AGRI_AP1089,"up 70d,12h,44m",1,96.98%
CMU_AGR_AGRI_AP1090,"up 70d,12h,44m",0,98.30%
CMU_AGR_AGRI_AP1091,"up 70d,12h,44m",0,98.43%
CMU_AGR_AGRI_AP1092,"up 33d,9h,54m",0,97.44%
CMU_AGR_AGRI_AP1093,"up 33d,9h,54m",0,96.60%
CMU_AGR_AGRI_AP1094,"up 33d,9h,54m",0,97.79%
CMU_AGR_AGRI_AP1095,"up 33d,9h,54m",0,97.72%
CMU_AGR_AGRI_AP1096,"up 70d,13h,4m",0,98.33%
CMU_AGR_AGRI_AP1097,"up 70d,13h,4m",0,98.61%
CMU_AGR_AGRI_AP1098,"up 57d,9h,49m",0,98.11%
CMU_AGR_AGRI_AP1099,"up 6d,19h,24m",0,98.20%
