Location1,count
คณะแพทยศาสตร์,1290
คณะวิศวะฯ,484
คณะวิทยาสาสตร์ คอม,464
หอพักนักศึกษาพยาบาล 1,287
คณะศึกษาศาสตร์,261
หอสี่สิบปี,216
คณะเกษตรศาสตร์,166
คณะมนุษยศาสตร์,144
หอพักในกำกับสวนดอก,142
คณะสื่อสารมวลชน,138
คณะเทคนิคการแพทย์,128
คณะสังคมศาสตร์,122
แม่เหียะ ศูนย์สุขภาพสัตว์เลี้ยง,122
คณะทันตแพทย์,117
SCMC,108
คณะสถาปัตยกรรม,103
คณะเภสัชฯ,98
ทะเบียนวัดผล,98
หอหญิงสีชมพู,96
คณะบริหารธุรกิจ,89
หอพักหน้าหอพักหญิง4/37,88
แม่เหียะ คณะเกษตรศาสตร์ วิทยาศาสตร์และเทคโนโลยีอาหาร,88
คณะเศรษฐศาสตร์,76
หอพักนักศึกษา ICDI,74
หอหญิง5,73
หอสมุด,71
หอหญิง7,70
หอหญิง6,70
หอชาย4,70
แม่เหียะ คณะเกษตรศาสตร์,67
คณะรัฐศาสตร์,65
หอหญิง4,65
หอชาย3,63
CAMT,56
คณะวิจิตรศิลป์,52
แม่เหียะ หอพักในกำกับ 3,47
แม่เหียะ ตึกเก่า,46
ฟอประชุมมหาวิทยาลัยเชียงใหม่,45
หอหญิง2,44
หอพักนักศึกษาพยาบาล 9,44
ศูนย์ส่งเสริมพฤตพลังผู้สูงอายุ,40
แม่เหียะ อุทยานวิทยาศาสตร์และเทคโนโลยี STEP,40
ศูนย์สุขภาพไผ่ล้อม,37
MIdS CMU,37
LAW นิติ,36
ITSC คอม,35
แฟลตแพทย์ 86,35
หอหญิง3,34
หอชาย6,33
หอชาย5,33
ลำพูน หอ2,33
หอพักแพทย์7,33
Ang kaeo Dormitory,33
สถาบันภาษา,30
 TLIC,29
สถาบันวิจัยวิทยาศาสตร์สุขภาพ,29
อมช,28
ยิมสนามกีฬากลาง,26
หอพักนักศึกษาแพทย์ชาย 2,22
หอพัก คณะทันตแพทย์,21
อมชเก่า,21
หอพักนักศึกษาแพทย์ชาย 1,21
หอชาย7,19
TLIC,18
CMU Education Centre,16
ลำพูน หอ1,16
แม่เหียะ Energy Research and Development Institute of Nakornping,16
สำนักวิชาการวิจับวิทยาศาสตร์,16
สำนักงานบริหารและจัดการทรัพย์สิน,15
ศูนย์วิจะยและพัฒนาการท่องเที่ยว สถาบันวิจัยพหุศาสตร์,15
โรงพยาบาลสัตว์,15
แฟลต56,15
วิทยาลัยนานาชาติ มช,15
ลำพูน HPB5,14
Rehabilitation Medicine Department,14
หอศิลป์มช,13
สนามรักบี้,13
หอพักนักศึกษาคณะเภสัชศาสตร์,12
หอพักหญิง4/37,12
แฟลต8,12
หอพักนักศึกษาแพทย์ชาย 3,10
หอพักนักศึกษาแพทย์หญิง 2,10
หอพักนักศึกษาพยาบาล 2,10
แฟลต7,10
MDRI,9
คณะสาธารณสุข,8
หอพัก คณะเทคนิคการแพทย์,8
สเตเดียม,8
หอพักนักศึกษาพยาบาล 5,8
AMS,8
หอพักหญิง12,7
ที่พักรถม่วงหน้าหอสาม,7
พิพิธภัณฑ์เรือนโบราณล้านนา มช,7
หอพักชาย1,7
หอสมุดคณะวิศวะ,7
S1,7
หอพักชาย2,7
หอพักหญิง11,7
หอพักแพทย์4,6
ศาลาธรรม,6
ลำพูน HPB4,6
แฟลตริมคลอง,6
ธนาคารออมสิน,6
โรงปรับปรุงคุณภาพน้ำ,6
สนามฟุตบอลสวนดอกปาร์ค,5
แม่เหียะ ศูนย์วิจัยข้าวล้านนา,5
ITSCC หอสมุด,4
แฟลต1,4
แฟลต2,4
ตลาดร่มสัด กาดฝายหิน,4
"School of Public Policy, CMU",4
งานอาคารสถานที่ กองอาคารฯ มช,4
แฟลต3,4
AIS Playgroud,4
แฟลต4,4
ศาลาอ่างแก้ว,4
หน่วยไฟฟ้า กองอาคารสถานที่,3
แม่เหียะ ศูนย์สัตว์ทดลอง,3
หอประวัติศาสตร์,3
สหายกาแฟ,3
ITSC สถิติ,3
โรงกำจัดน้ำเสีย มช สวนดอก,3
สระว่ายน้ำ,2
ป้อมยามหน้ามอ,2
โรงอาหาร สังคม,2
วัดฝายหิน,2
สวนดอกปาร์ค,2
สหกรณ์ออมทรัพย์,2
ขสมช,2
แม่เหียะ อาคารเก่า 2 ที่,2
สนามบาส สาธิต,2
CMU Café and More,2
แฟลต6,1
ธรรมสถาน วัดฝายหิน,1
ร้านสหกรณ์,1
หน้า อมช,1
สนามเทนนิส,1
แฟลต5,1
อาคารเฉลิมพระเกียรติ์ 7 รอบ,1
สนามยิงธนู,1
แม่เหียะ สนามฟุตบอล,1
ไปรษณีย์,1
ไทยพาณิชย์,1
ป้อมยามแยกหอหญิง3,1
